from,to,time
ks,tak,1998
ks,fum,1998
bush,vad,1999
ks,stf,1999
ks,cj,2000
bsh,bush,2001
koo,bush,2001
bsh,bush,2001
dbo,bush,2001
bush,koo,2001
bush,bsh,2001
bush,koo,2001
bush,bsh,2001
bush,dbo,2001
bush,koo,2001
bush,fler,2001
bush,koo,2001
bush,si,2001
bush,bti,2001
bush,bsh,2001
bush,si,2001
bush,bti,2001
bush,koo,2001
bush,bsh,2001
bush,bas,2001
ks,aza,2001
ks,j,2001
ks,cur,2001
ks,eko,2001
fler,bush,2002
fler,bush,2002
dbo,bush,2002
fler,bush,2002
fler,bush,2002
si,bush,2002
bti,bush,2002
bush,bsh,2002
bush,koo,2002
bush,fler,2002
bush,koo,2002
bush,bsh,2002
bush,bti,2002
bush,si,2002
bush,si,2002
bush,bti,2002
bush,bti,2002
bush,fler,2002
bush,fler,2002
bush,koo,2002
bush,fler,2002
aza,ks,2002
eko,ks,2002
ks,pp,2002
ks,rom,2002
sc,eko,2003
sc,eko,2003
sc,eko,2003
sc,eko,2003
fler,bush,2003
joe,bush,2003
fler,bush,2003
fler,bush,2003
fler,bush,2003
fler,bush,2003
fler,bush,2003
fler,bush,2003
bush,fler,2003
bush,bti,2003
bush,si,2003
ks,ob,2003
ks,sep,2003
ks,eko,2003
ks,aza,2003
sent,bush,2004
aza,bush,2004
cha,bush,2004
bs,bush,2004
sent,bush,2004
aza,bush,2004
bsh,bush,2004
bs,bush,2004
bs,bush,2004
bush,kol,2004
erc,ks,2004
sd,ks,2004
erc,ks,2004
sd,ks,2004
am,ks,2004
aza,ks,2004
mp,ks,2004
ill,ks,2004
sig,ks,2004
ks,bea,2004
ks,ob,2004
ks,bli,2004
ks,erc,2004
ks,capu,2004
ks,sep,2004
ks,pp,2004
ks,sd,2004
ks,meg,2004
ks,erc,2004
eko,sc,2005
kc,sc,2005
pas,sc,2005
man,sc,2005
c,sc,2005
t,sc,2005
sc,ber,2005
sc,eko,2005
sc,eko,2005
sc,eko,2005
sc,eko,2005
sc,eko,2005
sc,eko,2005
sc,eko,2005
sc,eko,2005
sc,eko,2005
sc,ha,2005
sc,fb,2005
sc,c,2005
sc,kao,2005
eko,bush,2005
bs,bush,2005
ch,bush,2005
bs,bush,2005
bs,bush,2005
dbo,bush,2005
ch,bush,2005
bs,bush,2005
bs,bush,2005
eko,bush,2005
ch,bush,2005
bs,bush,2005
dbo,bush,2005
eko,bush,2005
bush,bsh,2005
bush,bsh,2005
bush,kol,2005
bush,eko,2005
bush,sc,2005
bush,bush,2005
bush,bs,2005
bush,bs,2005
bush,bs,2005
bush,bs,2005
bush,bs,2005
bush,bs,2005
bush,bs,2005
bush,bs,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
aza,ks,2005
erc,ks,2005
sig,ks,2005
sde,ks,2005
sig,ks,2005
am,ks,2005
capu,ks,2005
kaas,ks,2005
sig,ks,2005
am,ks,2005
sig,ks,2005
erc,ks,2005
capu,ks,2005
sig,ks,2005
naz,raf,2006
sc,bush,2006
dbo,bush,2006
ch,bush,2006
ch,bush,2006
bs,bush,2006
kao,bush,2006
kao,bush,2006
kao,bush,2006
kao,bush,2006
kao,bush,2006
kao,bush,2006
kao,bush,2006
bs,bush,2006
eko,bush,2006
dbo,bush,2006
ch,bush,2006
bs,bush,2006
ch,bush,2006
eko,bush,2006
bush,ch,2006
bush,dbo,2006
bush,dbo,2006
bush,dbo,2006
bush,bs,2006
bush,eko,2006
bush,bs,2006
bush,nyze,2006
bush,ch,2006
bush,ch,2006
bush,bs,2006
bush,nyze,2006
bush,dbo,2006
bush,nyze,2006
bush,sc,2006
bush,nyze,2006
bush,eko,2006
bush,bm,2006
bush,eko,2006
kao,eko,2006
kao,bush,2006
kao,eko,2006
kao,eko,2006
am,ks,2006
erc,ks,2006
capu,ks,2006
am,ks,2006
erc,ks,2006
erc,ks,2006
am,ks,2006
erc,ks,2006
capu,ks,2006
sig,ks,2006
erc,ks,2006
am,ks,2006
erc,ks,2006
kaas,ks,2006
sig,ks,2006
capu,ks,2006
capu,ks,2006
kaas,ks,2006
erc,ks,2006
fk,ks,2006
am,ks,2006
am,ks,2006
erc,ks,2006
erc,ks,2006
dez,ks,2006
erc,ks,2006
dez,ks,2006
aza,ks,2006
fk,ks,2006
mcb,ks,2006
dez,ks,2006
erc,ks,2006
jeyz,ks,2006
cha,ks,2006
kaas,ks,2006
fk,ks,2006
erc,ks,2006
wi,ks,2006
kkh,ks,2006
capu,ks,2006
dez,ks,2006
m,ks,2006
dez,ks,2006
ks,ss,2006
ks,fk,2006
ks,dez,2006
ks,jeyz,2006
ks,erc,2006
sc,dbo,2007
sc,ch,2007
sc,bs,2007
sc,kh,2007
sc,eko,2007
sc,bush,2007
sc,bush,2007
sc,bush,2007
187,bmc,2007
bmc,av,2007
bmc,av,2007
bmc,av,2007
bmc,av,2007
bmc,av,2007
bmc,av,2007
bmc,av,2007
kao,bush,2007
nyze,bush,2007
bs,bush,2007
kao,bush,2007
bm,bush,2007
ch,bush,2007
eko,bush,2007
sc,bush,2007
kao,bush,2007
ch,bush,2007
kao,bush,2007
bush,ch,2007
bush,nyze,2007
bush,bm,2007
bush,ch,2007
bush,ch,2007
am,ks,2007
cur,ks,2007
ks,kh,2007
ks,am,2007
ks,ob,2007
ks,erc,2007
naz,raf,2008
emi,raf,2008
bm,raf,2008
ch,raf,2008
dbo,raf,2008
sb,raf,2008
ase,raf,2008
naz,raf,2008
emi,raf,2008
ch,raf,2008
jm,raf,2008
sc,btms,2008
sc,c,2008
sc,eko,2008
sc,fb,2008
sc,ha,2008
sc,fb,2008
sc,bush,2008
sc,btms,2008
sc,c,2008
sc,eko,2008
sc,fb,2008
sc,ch,2008
az,x,2008
bmc,av,2008
nyze,bush,2008
ch,bush,2008
bm,bush,2008
kao,bush,2008
bm,bush,2008
bush,bs,2008
bush,bs,2008
bush,bs,2008
bush,kao,2008
bush,bs,2008
bush,ch,2008
kao,bush,2008
kao,bush,2008
kao,ch,2008
kao,bs,2008
capu,ks,2008
am,ks,2008
erc,ks,2008
fk,ks,2008
am,ks,2008
kaas,ks,2008
fk,ks,2008
capu,ks,2008
kaas,ks,2008
erc,ks,2008
am,ks,2008
capu,ks,2008
fk,ks,2008
capu,ks,2008
am,ks,2008
erc,ks,2008
m,ks,2008
capu,ks,2008
ob,ks,2008
motr,ks,2008
erc,ks,2008
fk,ks,2008
am,ks,2008
fav,ks,2008
kaas,ks,2008
vega,ks,2008
ks,ob,2008
ks,cur,2008
ks,fav,2008
ks,capu,2008
ks,ban,2008
ks,erc,2008
ks,fk,2008
naz,raf,2009
dbo,raf,2009
jm,raf,2009
ch,raf,2009
sb,raf,2009
sb,raf,2009
bm,raf,2009
raf,dbo,2009
raf,naz,2009
sc,fb,2009
sc,c,2009
sc,eko,2009
sc,kh,2009
sc,naz,2009
sc,eko,2009
sc,dbo,2009
bmc,kari,2009
bmc,blo,2009
bmc,sa4,2009
bmc,sa4,2009
bmc,sa4,2009
bmc,sa4,2009
bmc,187,2009
kao,bush,2009
fler,bush,2009
fler,bush,2009
fler,bush,2009
fler,bush,2009
fler,bush,2009
fler,bush,2009
fler,bush,2009
bush,bush,2009
bush,fler,2009
bush,fler,2009
bush,nyze,2009
bush,fler,2009
bush,fler,2009
kao,nyze,2009
ks,vega,2009
ks,lau,2009
ks,mae,2009
ks,tua,2009
ks,mcb,2009
ks,aza,2009
ks,sig,2009
gzuz,sa4,2009
gzuz,bmc,2009
gzuz,m36,2009
gzuz,av,2009
gzuz,bmc,2009
gzuz,sa4,2009
gzuz,bmc,2009
gzuz,sa4,2009
man,raf,2010
naz,raf,2010
ch,raf,2010
dbo,raf,2010
joka,raf,2010
motr,raf,2010
sil,raf,2010
tua,raf,2010
tkiz,raf,2010
naz,raf,2010
m36,ufo,2010
said,ufo,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
ch,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
maxi,raf,2010
naz,raf,2010
sb,raf,2010
naz,raf,2010
fler,raf,2010
naz,raf,2010
naz,raf,2010
raf,bm,2010
raf,joka,2010
raf,joka,2010
raf,sc,2010
raf,kol,2010
eko,sc,2010
fard,sc,2010
fb,sc,2010
raf,sc,2010
kol,sc,2010
c,sc,2010
sc,fard,2010
sc,sna,2010
sc,kol,2010
sc,fb,2010
sc,fard,2010
sc,fb,2010
sc,fb,2010
sc,fb,2010
sc,joka,2010
sc,eko,2010
sc,eko,2010
sc,eko,2010
bmc,187,2010
bmc,char,2010
bmc,kv,2010
bmc,veli,2010
bmc,av,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
fler,bush,2010
kao,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
fler,bush,2010
kao,bush,2010
bush,kao,2010
bush,fler,2010
bush,aza,2010
bush,fler,2010
bush,fler,2010
bush,kao,2010
bush,fler,2010
bush,kao,2010
bush,fler,2010
bush,kao,2010
bush,kao,2010
nyze,kao,2010
bush,kao,2010
fler,kao,2010
kao,fler,2010
kao,bush,2010
ob,ks,2010
aza,ks,2010
motr,ks,2010
ob,ks,2010
